Site ID,TURF,C,G,S,Z,MA,OL,SEAG,DCA,CA,DC,SPR,U,TWS,points
BISC-P10a,11.11,11.11,16.67,0,0,0,0,0,0,0,0,61.11,0,11.11,18
BISC-P10a,0,20,10,15,0,5,0,0,0,0,0,50,0,0,20
BISC-P10a,0,6.67,40,20,0,0,0,0,0,0,0,33.33,0,33.33,15
BISC-P10a,0,0,26.32,0,0,0,0,0,0,0,0,73.68,0,5.26,19
BISC-P10a,0,0,41.18,0,0,0,0,0,0,0,0,58.82,0,17.65,17
BISC-P10a,0,0,0,0,0,0,0,0,0,0,0,100,0,0,20
BISC-P10a,0,0,5,20,0,0,0,0,0,0,0,75,0,0,20
BISC-P10a,0,0,30,0,0,0,0,0,0,0,0,70,0,0,20
BISC-P10a,0,45,25,0,0,0,0,0,0,0,0,30,0,0,20
BISC-P10a,5.56,0,50,11.11,0,0,0,0,0,0,0,33.33,0,11.11,18
BISC-P10a,0,5.88,58.82,0,0,0,0,0,0,0,0,35.29,0,17.65,17
BISC-P10a,5.56,5.56,44.44,0,0,16.67,0,0,0,0,0,27.78,0,11.11,18
BISC-P10a,10,0,30,0,0,5,0,0,0,5,0,50,0,0,20
BISC-P10a,0,35,45,5,0,0,0,0,0,5,0,10,0,0,20
BISC-P10a,0,0,20,0,0,0,0,0,0,0,0,80,0,0,20
BISC-P10a,0,0,85,0,0,0,0,0,0,5,0,10,0,0,20
BISC-P10a,0,0,68.42,0,0,5.26,0,0,0,10.53,0,15.79,0,5.26,19
BISC-P10a,0,5,55,0,0,0,0,0,0,5,0,35,0,0,20
BISC-P10a,0,0,0,5,0,0,0,0,0,10,0,85,0,0,20
BISC-P10a,10.53,10.53,26.32,0,0,0,0,0,0,15.79,0,36.84,0,5.26,19
BISC-P10a,10.53,5.26,52.63,0,5.26,0,0,0,0,0,0,26.32,0,5.26,19
BISC-P10a,0,0,21.05,0,0,0,0,0,0,10.53,0,68.42,0,5.26,19
BISC-P10a,0,5,20,10,0,5,0,0,0,5,0,55,0,0,20
BISC-P10a,10,10,55,0,0,0,0,0,0,0,0,25,0,0,20
BISC-P10a,0,15.79,0,5.26,0,0,0,0,0,0,0,78.95,0,5.26,19
BISC-P10a,0,0,35,5,0,0,5,0,5,0,0,50,0,0,20
BISC-P10a,0,10,5,0,0,0,0,0,0,0,0,85,0,0,20
BISC-P10a,0,0,0,0,0,0,0,0,0,0,0,100,0,5.26,19
BISC-P10a,5.26,0,31.58,0,0,0,0,0,5.26,0,0,57.89,0,5.26,19
BISC-P10a,0,10,45,10,0,0,0,0,0,5,0,30,0,0,20
BISC-P10a,0,0,47.37,0,0,0,0,0,0,0,0,52.63,0,5.26,19
